incident_id,number,short_description,description,category,subcategory,priority,state,assignment_group,resolution_code,resolution_notes,close_notes,opened_at,resolved_at,closed_at
11,INC0010011,Website returns HTTP 503,The internal employee portal returns HTTP 503 for all users after an application deployment.,Application,Web Application,1,Resolved,Application Support,Solved (Permanently),Rolled back the failed release and restarted the application service instances.,Portal availability and synthetic monitoring checks returned to normal.,2026-08-05T03:10:00Z,2026-08-05T03:55:00Z,2026-08-05T04:20:00Z
12,INC0010012,Password reset does not synchronize,A user can access Microsoft 365 with the new password but cannot sign in to an on-premises application.,Access,Password Synchronization,3,Resolved,Identity and Access,Solved (Permanently),Forced directory synchronization and corrected the password writeback connector status.,User successfully authenticated to both cloud and on-premises services.,2026-08-09T11:20:00Z,2026-08-09T12:05:00Z,2026-08-09T12:20:00Z
13,INC0010013,Server disk space critically low,The application server system drive reached 98 percent utilization and generated critical alerts.,Infrastructure,Storage,2,Resolved,Windows Server Support,Solved (Permanently),"Removed obsolete log files, compressed archived logs, and increased the disk by 50 GB.",Free space increased to 42 percent and monitoring alerts cleared.,2026-08-13T16:10:00Z,2026-08-13T17:00:00Z,2026-08-13T17:20:00Z
14,INC0010014,DNS resolution intermittent,Users intermittently cannot resolve internal application hostnames from one office subnet.,Network,DNS,2,Resolved,Network Operations,Solved (Permanently),Corrected the subnet DHCP option to use the active DNS servers and flushed local resolver caches.,Repeated DNS tests succeeded from affected client devices.,2026-08-17T06:30:00Z,2026-08-17T07:35:00Z,2026-08-17T08:00:00Z
15,INC0010015,ServiceNow email notifications missing,Incident assignees do not receive email notifications when new tickets are assigned.,Application,ServiceNow Notifications,3,Resolved,ServiceNow Support,Solved (Permanently),Re-enabled the assignment notification rule and corrected the outbound email account configuration.,Test incidents generated notifications for all selected recipients.,2026-08-21T08:50:00Z,2026-08-21T10:10:00Z,2026-08-21T10:30:00Z
16,INC0010016,Backup job failed overnight,The nightly backup for the payroll server failed with a repository connection timeout.,Infrastructure,Backup,2,Resolved,Backup Operations,Solved (Permanently),"Restarted the backup proxy, renewed repository credentials, and reran the failed job.",Backup completed successfully and restore-point verification passed.,2026-08-25T02:20:00Z,2026-08-25T04:05:00Z,2026-08-25T04:30:00Z
17,INC0010017,API requests return unauthorized,A production integration receives HTTP 401 responses after an application secret rotation.,Integration,API Authentication,1,Resolved,Integration Support,Solved (Permanently),Updated the secret reference in the integration configuration and restarted the connector service.,API authentication succeeded and queued transactions were processed.,2026-08-29T13:15:00Z,2026-08-29T14:00:00Z,2026-08-29T14:25:00Z
18,INC0010018,Remote desktop session freezes,Administrators experience frozen RDP sessions when connecting to a Windows jump server.,Infrastructure,Remote Access,3,Resolved,Windows Server Support,Solved (Permanently),"Restarted Remote Desktop Services, cleared disconnected sessions, and updated the network adapter driver.",Multiple 30-minute RDP sessions completed without freezing.,2026-09-02T07:45:00Z,2026-09-02T08:40:00Z,2026-09-02T09:00:00Z
19,INC0010019,Certificate expiration warning,Monitoring reports that the public API TLS certificate will expire within seven days.,Security,Certificate Management,2,Resolved,Security Operations,Solved (Permanently),"Renewed the certificate, updated the application gateway listener, and verified the full certificate chain.",External TLS tests confirmed the new expiration date and trusted chain.,2026-09-06T05:15:00Z,2026-09-06T06:30:00Z,2026-09-06T06:50:00Z
20,INC0010020,Active Directory account locks repeatedly,A user account locks every few minutes after a password change.,Access,Account Lockout,3,Resolved,Identity and Access,Solved (Permanently),"Identified stored old credentials on a mobile mail client, removed the saved password, and unlocked the account.",No additional lockouts occurred during the monitoring period.,2026-09-10T10:05:00Z,2026-09-10T10:50:00Z,2026-09-10T11:10:00Z
